gap_duration,contrast,n_flashes,response,rt,subject
0,1,1,0,0.58984375,2
0,1,1,0,0.861328125,2
0,0.5,1,0,0.53515625,2
49,0.5,2,1,0.46484375,2
0,0.5,1,0,0.623046875,2
0,0.5,1,0,0.498046875,2
49,0.5,2,1,0.5625,2
7,1,2,0,0.6171875,2
49,0.5,2,1,0.484375,2
0,1,1,0,0.384765625,2
28,1,2,1,0.498046875,2
0,0.5,1,0,0.53515625,2
0,1,1,0,0.55078125,2
0,0.5,1,0,0.6796875,2
21,1,2,1,0.720703125,2
42,0.5,2,0,0.7265625,2
0,1,1,0,0.5234375,2
0,0.5,1,0,0.47265625,2
0,0.5,1,0,0.4765625,2
14,0.5,2,0,0.353515625,2
28,0.5,2,1,0.466796875,2
0,1,1,0,0.830078125,2
21,0.5,2,1,0.521484375,2
0,0.5,1,0,0.609375,2
35,1,2,1,0.5,2
0,0.5,1,0,0.43359375,2
35,0.5,2,1,0.435546875,2
49,0.5,2,1,0.5,2
0,1,1,0,0.55078125,2
21,0.5,2,0,0.5859375,2
0,0.5,1,0,0.58203125,2
0,1,1,0,0.58984375,2
0,0.5,1,0,0.576171875,2
0,1,1,0,0.4609375,2
0,0.5,1,0,0.484375,2
42,1,2,1,0.595703125,2
42,0.5,2,0,0.826171875,2
35,0.5,2,1,0.50390625,2
0,1,1,0,0.666015625,2
21,1,2,1,0.447265625,2
0,0.5,1,0,0.5625,2
0,1,1,0,0.673828125,2
42,1,2,1,0.482421875,2
0,1,1,1,0.333984375,2
14,1,2,1,0.50390625,2
14,1,2,1,0.494140625,2
0,0.5,1,0,0.69921875,2
0,1,1,0,0.625,2
0,1,1,0,0.65234375,2
0,0.5,1,0,0.4609375,2
0,0.5,1,0,0.529296875,2
14,1,2,1,0.533203125,2
0,0.5,1,0,1.3828125,2
0,0.5,1,0,0.62109375,2
0,1,1,0,0.591796875,2
56,0.5,2,1,0.515625,2
0,1,1,0,0.66015625,2
14,0.5,2,0,0.798828125,2
7,0.5,2,0,0.513671875,2
28,0.5,2,0,0.7578125,2
35,1,2,1,0.62890625,2
0,0.5,1,0,0.546875,2
0,0.5,1,0,0.60546875,2
0,0.5,1,0,0.421875,2
14,0.5,2,0,0.494140625,2
14,1,2,1,0.62890625,2
28,1,2,1,0.6640625,2
28,1,2,1,0.37109375,2
35,0.5,2,1,0.439453125,2
49,1,2,1,0.392578125,2
0,1,1,0,0.56640625,2
0,1,1,0,0.775390625,2
42,1,2,0,0.447265625,2
0,1,1,0,0.75390625,2
0,0.5,1,0,0.6953125,2
0,0.5,1,0,0.52734375,2
0,1,1,0,0.830078125,2
21,0.5,2,1,0.486328125,2
0,0.5,1,0,0.484375,2
14,0.5,2,1,0.525390625,2
28,0.5,2,1,0.36328125,2
56,0.5,2,1,0.619140625,2
42,1,2,1,0.501953125,2
0,1,1,0,0.5859375,2
0,1,1,0,0.560546875,2
0,1,1,0,0.546875,2
56,1,2,1,0.775390625,2
0,0.5,1,0,0.744140625,2
0,0.5,1,0,0.578125,2
0,1,1,0,0.763671875,2
21,1,2,1,0.6640625,2
35,0.5,2,1,0.583984375,2
0,0.5,1,0,1,2
0,1,1,0,0.892578125,2
7,0.5,2,0,0.568359375,2
35,1,2,1,1.5390625,2
0,1,1,0,0.771484375,2
14,0.5,2,1,1.048828125,2
49,0.5,2,1,1.13671875,2
21,0.5,2,1,0.83203125,2
0,0.5,1,1,0.294921875,2
0,1,1,0,0.794921875,2
0,0.5,1,0,0.6875,2
7,0.5,2,0,1.0078125,2
0,1,1,0,0.509765625,2
0,1,1,0,0.681640625,2
35,1,2,1,1.224609375,2
21,1,2,1,0.73046875,2
0,0.5,1,0,0.404296875,2
0,0.5,1,0,0.525390625,2
49,1,2,1,0.64453125,2
56,0.5,2,1,0.599609375,2
0,0.5,1,0,0.703125,2
35,0.5,2,1,0.5703125,2
42,0.5,2,1,0.486328125,2
0,0.5,1,0,0.572265625,2
0,0.5,1,0,0.53515625,2
0,0.5,1,0,0.625,2
42,1,2,1,0.421875,2
21,0.5,2,1,0.4765625,2
21,0.5,2,1,0.4609375,2
56,1,2,1,0.48046875,2
28,0.5,2,1,0.361328125,2
0,0.5,1,1,0.36328125,2
0,0.5,1,0,0.46484375,2
28,1,2,1,0.52734375,2
35,0.5,2,1,0.548828125,2
35,1,2,1,0.478515625,2
0,0.5,1,0,0.66796875,2
0,0.5,1,0,0.509765625,2
0,0.5,1,0,0.515625,2
28,0.5,2,1,0.40625,2
56,0.5,2,1,0.580078125,2
0,1,1,1,0.3515625,2
35,1,2,1,0.775390625,2
56,1,2,1,0.591796875,2
0,0.5,1,0,0.60546875,2
21,0.5,2,1,0.49609375,2
0,1,1,0,0.533203125,2
0,1,1,0,0.5546875,2
42,0.5,2,1,0.49609375,2
14,1,2,0,0.46875,2
